127.0.0.1 - - [28/Nov/2014:08:25:51 +0000] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:25:52 +0000] "GET /TestProject/faces/index.xhtml HTTP/1.1" 200 4639
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:26:06 +0000] "GET /TestProject/faces/index.xhtml HTTP/1.1" 200 4639
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:26:07 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 2624
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:26:08 +0000] "GET /TestProject/faces/index.xhtml;jsessionid=60ED074C53D01ABA3E5E20D1AD1C1F18 HTTP/1.1" 200 4111
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:26:08 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:26:09 +0000] "GET /TestProject/faces/specialoffers.xhtml HTTP/1.1" 200 4755
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:26:09 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:26:09 +0000] "GET /TestProject/faces/products.xhtml HTTP/1.1" 200 6393
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:26:10 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:26:10 +0000] "GET /TestProject/faces/specialoffers.xhtml HTTP/1.1" 200 4755
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:26:10 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:26:13 +0000] "GET /TestProject/faces/products.xhtml HTTP/1.1" 200 6393
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:26:13 +0000] "GET /TestProject/faces/images/shop.ico HTTP/1.1" 500 1866
0:0:0:0:0:0:0:1 - - [28/Nov/2014:08:26:13 +0000] "GET /TestProject/faces/specialoffers.xhtml HTTP/1.1" 200 4751
